key_resp_13.keys,key_resp_13.rt,key_resp.keys,key_resp.rt,key_resp_10.keys,key_resp_10.rt,slider_2.response,slider_2.rt,NVScal.thisRepN,NVScal.thisTrialN,NVScal.thisN,NVScal.thisIndex,NVScal.ran,msg,Echelle,Prolific ID*,Age*,First Name*,Gender (Male/Female/Other)*,date,expName,psychopyVersion,OS,frameRate,participant,id,session,researcher,key_resp_11.keys,key_resp_11.rt,slider_3.response,slider_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,category,EMOTION,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,entrainement,repcorr,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,cible,type,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,1,0.53176,0,3,3,3,1,TABLE,p,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.60035,0,4,4,14,1,WEHAT,q,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,1,0.530345,0,5,5,6,1,WHEAT,p,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.65023,0,6,6,12,1,KYEBAORD,q,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.62092,0,7,7,13,1,BOTOS,q,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,1,0.56163,0,8,8,0,1,SAND,p,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.983535,0,9,9,9,1,NOHTING,q,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,1,0.58319,0,10,10,1,1,NOTHING,p,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.603695,0,11,11,8,1,SNAD,q,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.567915,0,12,12,15,1,GSALS,q,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,1,0.723605,0,13,13,2,1,PAPER,p,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,1,0.59823,0,14,14,5,1,BOOTS,p,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,1,0.545985,0,15,15,4,1,KEYBOARD,p,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,space,2.986275,q,1,0.60371,0,0,0,46,1,EVNINGE,non,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,p,1,0.570755,0,1,1,0,1,ACHIEVE,reussite,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,p,1,0.532495,0,2,2,37,1,THE,neutre,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,p,1,0.53883,0,3,3,4,1,TRIUMPH,reussite,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,,,q,1,0.583985,0,4,4,8,1,WNI,non,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,p,1,0.53413,0,5,5,20,1,ESCAPE,escape,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,p,1,0.632885,0,6,6,33,1,HEDGE,neutre,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,p,1,0.64974,0,7,7,14,1,FAILURE,echec,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,p,1,0.54324,0,8,8,32,1,WIND,neutre,,,,
,,,,,,,,,,,,,,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,p,1,0.748415,0,9,9,39,1,STEP,neutre,,,,
